telegram_type_id,name,is_fetched
0x04,UBAFactory,fetched
0x06,RCTime, 
0x0A,EasyMonitor,fetched
0x10,UBAErrorMessage1, 
0x11,UBAErrorMessage2, 
0x12,RCErrorMessage, 
0x13,RCErrorMessage2, 
0x14,UBATotalUptime,fetched
0x15,UBAMaintenanceData, 
0x16,UBAParameters,fetched
0x18,UBAMonitorFast, 
0x19,UBAMonitorSlow, 
0x1A,UBASetPoints, 
0x1C,UBAMaintenanceStatus, 
0x1E,HydrTemp, 
0x23,JunkersSetMixer,fetched
0x26,UBASettingsWW,fetched
0x28,WeatherComp,fetched
0x2A,MC110Status, 
0x2E,Meters, 
0x33,UBAParameterWW,fetched
0x34,UBAMonitorWW, 
0x35,UBAFlags, 
0x37,WWSettings,fetched
0x38,WWTimer,fetched
0x39,WWCircTimer,fetched
0x3A,RC30WWSettings,fetched
0x3B,Energy, 
0x3D,RC35Set, 
0x3E,RC35Monitor, 
0x3F,RC35Timer, 
0x40,RC30Temp, 
0x41,RC30Monitor, 
0x42,RC35Timer2, 
0x47,RC35Set, 
0x48,RC35Monitor, 
0x49,RC35Timer, 
0x4C,RC35Timer2, 
0x51,RC35Set, 
0x52,RC35Monitor, 
0x53,RC35Timer, 
0x56,RC35Timer2, 
0x5B,RC35Set, 
0x5C,RC35Monitor, 
0x5D,RC35Timer, 
0x60,RC35Timer2, 
0x96,SM10Config,fetched
0x97,SM10Monitor, 
0x9C,WM10MonitorMessage, 
0x9D,WM10SetMessage, 
0xA2,RCError, 
0xA3,RCOutdoorTemp, 
0xA5,IBASettings,fetched
0xA7,RC30Set, 
0xA9,RC30Vacation,fetched
0xAA,MMConfigMessage,fetched
0xAB,MMStatusMessage, 
0xAC,MMSetMessage, 
0xAF,RC20Remote, 
0xB0,RC10Set, 
0xB1,RC10Monitor, 
0xBB,HybridSettings,fetched
0xBF,ErrorMessage, 
0xC0,RCErrorMessage, 
0xC2,UBAErrorMessage3, 
0xC6,UBAErrorMessage3, 
0xD1,UBAOutdoorTemp, 
0xE3,UBAMonitorSlowPlus2, 
0xE4,UBAMonitorFastPlus, 
0xE5,UBAMonitorSlowPlus, 
0xE6,UBAParametersPlus,fetched
0xE9,UBAMonitorWWPlus, 
0xEA,UBAParameterWWPlus,fetched
0x0101,ISM1Set,fetched
0x0103,ISM1StatusMessage,fetched
0x0104,ISM2StatusMessage, 
0x010C,IPMStatusMessage, 
0x011E,IPMTempMessage, 
0x012E,HPEnergy1, 
0x013B,HPEnergy2, 
0x0165,JunkersSet, 
0x0166,JunkersSet, 
0x0167,JunkersSet, 
0x0168,JunkersSet, 
0x016E,Absent,fetched
0x016F,JunkersMonitor, 
0x0170,JunkersMonitor, 
0x0171,JunkersMonitor, 
0x0172,JunkersMonitor, 
0x0179,JunkersSet, 
0x017A,JunkersSet, 
0x017B,JunkersSet, 
0x017C,JunkersSet, 
0x01D3,JunkersDhw,fetched
0x023A,RC300OutdoorTemp,fetched
0x023E,PVSettings,fetched
0x0240,RC300Settings,fetched
0x0241,RC300Settings,fetched
0x0267,RC300Floordry, 
0x0269,RC300Holiday,fetched
0x0291,HPMode,fetched
0x0292,HPMode,fetched
0x0293,HPMode,fetched
0x0294,HPMode,fetched
0x029B,RC300Curves, 
