telegram_type_id,name,is_fetched,is_cmd
0x04,UBAFactory,fetched,cmd
0x06,RCTime, ,cmd
0x0A,EasyMonitor,fetched,cmd
0x10,UBAErrorMessage1, ,cmd
0x11,UBAErrorMessage2, ,cmd
0x12,RCErrorMessage, ,cmd
0x13,RCErrorMessage2, ,cmd
0x14,UBATotalUptime,fetched,cmd
0x15,UBAMaintenanceData, ,cmd
0x16,UBAParameters,fetched,cmd
0x18,UBAMonitorFast, ,cmd
0x19,UBAMonitorSlow, ,cmd
0x1A,UBASetPoints, ,cmd
0x1C,UBAMaintenanceStatus, ,cmd
0x1E,WM10TempMessage, ,cmd
0x23,JunkersSetMixer,fetched,cmd
0x26,UBASettingsWW,fetched,cmd
0x28,WeatherComp,fetched,cmd
0x2A,MC110Status, ,cmd
0x2E,Meters, ,cmd
0x33,UBAParameterWW,fetched,cmd
0x34,UBAMonitorWW, ,cmd
0x35,UBAFlags, ,cmd
0x37,WWSettings,fetched,cmd
0x38,WWTimer,fetched,cmd
0x39,WWCircTimer,fetched,cmd
0x3A,RC30WWSettings,fetched,cmd
0x3B,Energy, ,cmd
0x3D,RC35Set, ,cmd
0x3E,RC35Monitor, ,cmd
0x3F,RC35Timer, ,cmd
0x40,RC30Temp, ,cmd
0x41,RC30Monitor, ,cmd
0x42,RC35Timer2, ,cmd
0x47,RC35Set, ,cmd
0x48,RC35Monitor, ,cmd
0x49,RC35Timer, ,cmd
0x4C,RC35Timer2, ,cmd
0x51,RC35Set, ,cmd
0x52,RC35Monitor, ,cmd
0x53,RC35Timer, ,cmd
0x56,RC35Timer2, ,cmd
0x5B,RC35Set, ,cmd
0x5C,RC35Monitor, ,cmd
0x5D,RC35Timer, ,cmd
0x60,RC35Timer2, ,cmd
0x96,SM10Config,fetched,cmd
0x97,SM10Monitor, ,cmd
0x9C,WM10MonitorMessage, ,cmd
0x9D,WM10SetMessage, ,cmd
0xA2,RCError, ,cmd
0xA3,RCOutdoorTemp, ,cmd
0xA5,IBASettings,fetched,cmd
0xA7,RC30Set, ,cmd
0xAA,MMConfigMessage,fetched,cmd
0xAB,MMStatusMessage, ,cmd
0xAC,MMSetMessage, ,cmd
0xAF,RC20Remote, ,cmd
0xB0,RC10Set, ,cmd
0xB1,RC10Monitor, ,cmd
0xBB,HybridSettings,fetched,cmd
0xBF,ErrorMessage, ,cmd
0xC2,UBAErrorMessage3, ,cmd
0xD1,UBAOutdoorTemp, ,cmd
0xE3,UBAMonitorSlowPlus2, ,cmd
0xE4,UBAMonitorFastPlus, ,cmd
0xE5,UBAMonitorSlowPlus, ,cmd
0xE6,UBAParametersPlus,fetched,cmd
0xE9,UBAMonitorWWPlus, ,cmd
0xEA,UBAParameterWWPlus,fetched,cmd
0x0101,ISM1Set,fetched,cmd
0x0103,ISM1StatusMessage,fetched,cmd
0x0104,ISM2StatusMessage, ,cmd
0x010C,IPMStatusMessage, ,cmd
0x011E,IPMTempMessage, ,cmd
0x0165,JunkersSet, ,cmd
0x0166,JunkersSet, ,cmd
0x0167,JunkersSet, ,cmd
0x0168,JunkersSet, ,cmd
0x016F,JunkersMonitor, ,cmd
0x0170,JunkersMonitor, ,cmd
0x0171,JunkersMonitor, ,cmd
0x0172,JunkersMonitor, ,cmd
0x0179,JunkersSet, ,cmd
0x017A,JunkersSet, ,cmd
0x017B,JunkersSet, ,cmd
0x017C,JunkersSet, ,cmd
0x01D3,JunkersDhw,fetched,cmd
0x023A,RC300OutdoorTemp,fetched,cmd
0x023E,PVSettings,fetched,cmd
0x0240,RC300Settings,fetched,cmd
0x0267,RC300Floordry, ,cmd
0x0291,HPMode,fetched,cmd
0x0292,HPMode,fetched,cmd
0x0293,HPMode,fetched,cmd
0x0294,HPMode,fetched,cmd
0x029B,RC300Curves, ,cmd
